U:			ej:			y:			
0.0967058741242			0.174018036097			0.270723910221			
0.554576803257			-0.061455221171			0.493121582086			
1.80232345623			0.201433572536			2.00375702876			
0.59408459472			-0.285992819126			0.308091775594			
0.413129302428			0.292132912026			0.705262214454			
-0.210966575004			-0.0893311791187			-0.300297754122			
1.6032102352			-0.00858203848586			1.59462819671			
0.426696105532			-0.188585044892			0.23811106064			
1.16615809507			-0.0766840087753			1.0894740863			
0.858637442479			-0.292373409034			0.566264033446			
-0.12998172409			-0.0407864496289			-0.170768173719			
1.11607719679			0.120741578148			1.23681877494			
-0.192726950692			0.197837165382			0.00511021469078			
-0.114212483625			-0.00569167794554			-0.119904161571			
-0.208372182241			0.0413656465943			-0.167006535646			
0.261240518564			-0.201628189607			0.0596123289567			
1.20149433993			-0.296558522436			0.904935817496			
-0.261552877348			-0.0595419791946			-0.321094856543			
1.48290241982			0.165526622716			1.64842904254			
1.90037328317			0.0141810411281			1.9145543243			
0.418503409306			0.0483515718382			0.466854981145			
0.0213613322085			0.076850562151			0.0982118943595			
1.8128198793			-0.636858480505			1.1759613988			
0.824067209329			0.0506476710889			0.874714880418			
0.656865553103			-0.00365597901909			0.653209574083			
